county,fips,aian,asian,black,latino,multirace,nhpi,white
Alameda,1,0.350794775,30.43657756,11.71645058,22.5558549,4.03758024,0.774488904,30.12825304
Alpine,3,18.8003581,2.864816473,1.342882722,11.01163832,2.775290958,0,63.20501343
Amador,5,1.795956503,1.372920506,3.527030183,15.43432561,2.481119099,0.324414108,75.06423399
Butte,7,1.373932929,5.159136516,1.717875363,16.66995762,2.094421153,0.160720764,72.82395566
Calaveras,9,1.372801373,1.659554291,1.372801373,12.42069137,2.424981372,0.239337081,80.50983314
California,,0.513805921,15.42437719,5.964894356,38.93641681,2.209622629,0.338210419,36.61267268
Colusa,11,1.403089452,1.226043465,0.72588855,62.20953393,1.01358828,0.230159784,33.19169654
Contra Costa,13,0.298681406,16.71305639,9.371269176,26.77150829,3.918286284,0.441514043,42.48568441
Del Norte,15,7.359024603,3.995210102,4.510486973,20.07402569,2.736047609,0.214093911,61.11111111
El Dorado,17,0.83532714,4.600772665,0.965830822,14.63246642,1.368735046,0.160540244,77.43632767
Fresno,19,0.645885062,10.7114036,4.999772337,52.56586003,1.923123499,0.12129115,29.03266433
Glenn,21,1.632138476,2.368134115,0.810958157,42.89900504,1.366362273,0.068147744,50.85525419
Humboldt,23,5.42513684,2.701009709,1.62940536,13.12472968,2.367671404,0.263240317,74.48880669
Imperial,25,0.672061947,1.327948489,2.181070603,83.83868426,0.604751394,0.050091574,11.32539173
Inyo,27,10.57280659,1.555302661,1.360212432,23.99067902,2.460304558,0.211347748,59.84934699
Kern,29,0.6827709,4.679315525,6.000424912,52.59029109,1.899054301,0.129738334,34.01840494
Kings,31,0.798368745,4.167625476,6.358185677,55.99255964,1.711794636,0.768965253,30.20250058
Lake,33,2.552758552,1.217801483,1.913027393,21.49650846,2.390898861,0.140278399,70.28872686
Lassen,35,3.389323133,1.546648927,9.230001663,19.46116747,1.972393148,0.78163978,63.61882588
Los Angeles,37,0.292408807,16.05454398,8.123386494,47.5509422,2.030717451,0.232082551,25.71591852
Madera,39,1.113755474,1.978274585,3.345014336,58.81166101,1.219946405,0.069336432,33.46201176
Marin,41,0.223159509,7.137269939,3.403757669,18.13228528,1.399923313,0.180981595,69.5226227
Mariposa,43,2.961506041,2.169148637,1.421747682,12.23939309,2.613093566,0.264119135,78.33099185
Mendocino,45,4.25717161,1.722090933,0.933977092,26.96774048,2.05565418,0.104026504,63.95933921
Merced,47,0.421682555,9.128801058,3.150441862,57.72284462,1.220165611,0.192749287,28.16331501
Modoc,49,3.831134565,1.551451187,1.562005277,17.80474934,2.448548813,0.474934037,72.32717678
