Sex,Cases,Date,Perecent_Cases,Deaths,Percent_Deaths,Ca_Population
Female,5015,4/2/2020,,,,
Male,5547,4/2/2020,,,,
Unknown,139,4/2/2020,,,,
Female,5674,4/3/2020,,,,
Male,6202,4/3/2020,,,,
Unknown,150,4/3/2020,,,,
Female,6349,4/4/2020,,,,
Male,6876,4/4/2020,,,,
Unknown,213,4/4/2020,,,,
Female,6740,4/5/2020,,,,
Male,7296,4/5/2020,,,,
Unknown,300,4/5/2020,,,,
Female,7600,4/6/2020,,,,
Male,7957,4/6/2020,,,,
Unknown,308,4/6/2020,,,,
Female,8108,4/7/2020,,,,
Male,8488,4/7/2020,,,,
Unknown,361,4/7/2020,,,,
Female,8776,4/8/2020,,,,
Male,9130,4/8/2020,,,,
Transgender,2,4/8/2020,,,,
Unknown,401,4/8/2020,,,,
Female,9387,4/9/2020,,,,
Male,9745,4/9/2020,,,,
Unknown,400,4/9/2020,,,,
Female,9981,4/10/2020,,,,
Male,10330,4/10/2020,,,,
Unknown,304,4/10/2020,,,,
Female,9981,4/10/2020,,,,
Male,10330,4/10/2020,,,,
Unknown,304,4/10/2020,,,,
Female,10571,4/11/2020,,,,
Male,10926,4/11/2020,,,,
Unknown,297,4/11/2020,,,,
Female,10877,4/12/2020,,,,
Male,11256,4/12/2020,,,,
Unknown,215,4/12/2020,,,,
Female,11352,4/13/2020,,,,
Male,11772,4/13/2020,,,,
Unknown,214,4/13/2020,,,,
Female,11934,4/14/2020,,,,
Male,12265,4/14/2020,,,,
Unknown,225,4/14/2020,,,,
Female,12771,4/15/2020,,,,
Male,13169,4/15/2020,,,,
Unknown,242,4/15/2020,,,,
Female,13424,4/16/2020,,,,
Male,13865,4/16/2020,,,,
Unknown,239,4/16/2020,,,,
Female,14185,4/17/2020,,,,
Male,14535,4/17/2020,,,,
Unknown,243,4/17/2020,,,,
Female,14902,4/18/2020,,,,
Male,15185,4/18/2020,,,,
Unknown,246,4/18/2020,,,,
Female,15224,4/19/2020,,,,
Male,15507,4/19/2020,,,,
Unknown,247,4/19/2020,,,,
Female,16363,4/20/2020,,,,
Male,16641,4/20/2020,,,,
Unknown,257,4/20/2020,,,,
Female,17411,4/21/2020,,,,
Male,17718,4/21/2020,,,,
Unknown,267,4/21/2020,,,,
Female,18395,4/22/2020,49.23,552,39.54,50.31
Male,18690,4/22/2020,50.01,839,60.1,49.69
Unknown,284,4/22/2020,0.76,5,0.36,
Female,19394,4/23/2020,49.41,593,39.82,50.31
Male,19577,4/23/2020,49.87,891,59.84,49.69
Unknown,283,4/23/2020,0.72,5,0.34,
Female,20395,4/24/2020,49.58,625,39.73,50.31
Male,20459,4/24/2020,49.73,944,60.01,49.69
Unknown,283,4/24/2020,0.69,4,0.25,
Female,20908,4/25/2020,49.59,657,39.89,50.31
